Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
algae extract,Moisturizer,35,4.091428571428571,0.7968214164716579,4.2,97.42857142857143,0.5142857142857142,0.5142857142857142,0.5714285714285714,0.5714285714285714,17
mineral oil,Moisturizer,6,4.333333333333333,0.3723797345005052,4.199999999999999,163.33333333333334,0.5,0.5,0.5,0.5,3
petrolatum,Moisturizer,18,4.016666666666667,1.0573273743125107,4.25,112.83333333333333,0.6666666666666666,0.4444444444444444,0.5,0.6111111111111112,6
glycerin,Moisturizer,204,4.25,0.5039254773272606,4.3,69.69607843137256,0.6568627450980392,0.6078431372549019,0.7107843137254902,0.7009803921568627,55
isohexadecane,Moisturizer,27,4.292592592592593,0.30750350332704274,4.3,97.85185185185185,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.5555555555555556,16
microcrystalline wax,Moisturizer,8,4.35,0.41403933560541256,4.3,130.875,0.375,0.375,0.375,0.375,3
lanolin alcohol,Moisturizer,6,3.5999999999999996,1.8066543665017945,4.1,122.83333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
sesamum indicum seed oil,Moisturizer,10,3.71,1.3576532039597675,4.05,200.5,0.7,0.8,0.8,0.7,2
eucalyptus globulus leaf oil,Moisturizer,14,3.8857142857142857,1.179215608169028,4.1,146.78571428571428,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,5
sesamum indicum seed powder,Moisturizer,9,3.6333333333333337,1.4168627315304756,4.0,207.22222222222223,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,1
medicago sativa seed powder,Moisturizer,9,3.6333333333333337,1.4168627315304756,4.0,207.22222222222223,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,1
helianthus annuus seedcake,Moisturizer,17,3.7294117647058824,1.4572082494801288,4.1,132.23529411764707,0.5294117647058824,0.6470588235294118,0.5294117647058824,0.7058823529411765,4
prunus amygdalus dulcis seed meal,Moisturizer,9,3.6333333333333337,1.4168627315304756,4.0,207.22222222222223,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,1
sodium gluconate,Moisturizer,10,3.7399999999999998,1.3777598565142701,4.05,192.3,0.7,0.7,0.8,0.7,2
copper gluconate,Moisturizer,15,3.8800000000000003,1.1377923486170174,4.1,156.53333333333333,0.5333333333333333,0.6,0.6666666666666666,0.6,6
calcium gluconate,Moisturizer,14,3.8642857142857143,1.1639502651660936,4.1,157.07142857142858,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.7857142857142857,5
magnesium gluconate,Moisturizer,10,3.69,1.3477965556995446,4.05,191.7,0.7,0.8,0.8,0.7,2
zinc gluconate,Moisturizer,19,3.9631578947368418,1.02209508489822,4.1,135.8421052631579,0.5263157894736842,0.631578947368421,0.631578947368421,0.631578947368421,7
magnesium sulfate,Moisturizer,12,4.391666666666667,0.3654594451654057,4.35,76.0,0.8333333333333334,0.75,0.9166666666666666,0.8333333333333334,4
tocopheryl succinate,Moisturizer,9,3.6333333333333337,1.4168627315304756,4.0,207.22222222222223,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,1
niacin,Moisturizer,11,3.7,1.2767145334803705,4.0,176.45454545454547,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7272727272727273,2
water,Moisturizer,201,4.223383084577114,0.581464098214531,4.3,70.61194029850746,0.6766169154228856,0.6417910447761194,0.736318407960199,0.7263681592039801,53
octyldodecanol,Moisturizer,10,4.42,0.35839146815241635,4.35,103.2,0.6,0.6,0.6,0.6,8
citric acid,Moisturizer,78,4.27051282051282,0.27069366131303907,4.3,69.84615384615384,0.7307692307692307,0.6410256410256411,0.7307692307692307,0.717948717948718,33
magnesium stearate,Moisturizer,5,4.239999999999999,0.4335896677735761,4.1,130.8,0.6,0.6,0.6,0.6,3
panthenol,Moisturizer,37,4.394594594594595,0.2592145678625956,4.4,77.43243243243244,0.5945945945945946,0.6486486486486487,0.7297297297297297,0.7027027027027027,19
limonene,Moisturizer,72,4.195833333333334,0.5877715135260266,4.3,86.375,0.6805555555555556,0.7222222222222222,0.7638888888888888,0.7361111111111112,25
geraniol,Moisturizer,51,4.286274509803921,0.3111395878657278,4.3,100.56862745098039,0.6470588235294118,0.6274509803921569,0.7254901960784313,0.6666666666666666,19
linalool,Moisturizer,68,4.163235294117647,0.5932215140281769,4.2,84.41176470588235,0.6617647058823529,0.6764705882352942,0.7352941176470589,0.6764705882352942,23
hydroxycitronellal,Moisturizer,10,4.18,0.39101008796307146,4.15,153.0,0.6,0.6,0.7,0.6,4
citronellol,Moisturizer,51,4.2784313725490195,0.31515946788265536,4.3,101.17647058823529,0.6666666666666666,0.6470588235294118,0.7450980392156863,0.6862745098039216,18
benzyl salicylate,Moisturizer,11,4.154545454545454,0.37246110230099566,4.1,139.0,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.5454545454545454,6
citral,Moisturizer,34,4.270588235294118,0.2990180006385609,4.25,83.88235294117646,0.7058823529411765,0.7941176470588235,0.8235294117647058,0.7647058823529411,13
sodium benzoate,Moisturizer,47,4.1489361702127665,0.6586786312880119,4.2,86.91489361702128,0.6808510638297872,0.6808510638297872,0.723404255319149,0.723404255319149,27
alcohol denat,Moisturizer,20,4.28,0.30192365713345837,4.3,106.8,0.7,0.8,0.85,0.75,11
fragrance,Moisturizer,92,4.283695652173912,0.2875730863291777,4.3,85.29347826086956,0.6086956521739131,0.5434782608695652,0.6847826086956522,0.6413043478260869,28
galactomyces ferment filtrate,Moisturizer,8,3.6999999999999997,1.5014278918035704,4.15,189.0,0.75,0.625,0.75,0.625,1
